iter	Passed	Remaining
614	8159	5107
615	8174	5095
616	8206	5094
617	8222	5082
618	8237	5070
619	8252	5057
620	8267	5045
621	8284	5034
622	8299	5022
623	8313	5009
624	8327	4996
625	8342	4984
626	8353	4969
627	8369	4957
628	8383	4944
629	8402	4934
630	8418	4923
631	8435	4911
632	8451	4899
633	8468	4888
634	8485	4877
635	8503	4866
636	8525	4858
637	8544	4848
638	8564	4838
639	8580	4826
640	8596	4814
641	8613	4803
642	8635	4794
643	8652	4783
644	8670	4772
645	8686	4759
646	8705	4749
647	8720	4737
648	8737	4725
649	8754	4713
650	8771	4702
651	8787	4690
652	8804	4678
653	8821	4667
654	8838	4655
655	8854	4643
656	8870	4631
657	8888	4619
658	8904	4607
659	8920	4595
660	8936	4583
661	8951	4570
662	8966	4557
663	8982	4545
664	8997	4532
665	9012	4519
666	9027	4506
667	9045	4495
668	9057	4481
669	9075	4469
670	9100	4462
671	9125	4454
672	9150	4445
673	9174	4437
674	9198	4428
675	9226	4422
676	9255	4415
677	9278	4406
678	9295	4394
679	9311	4381
680	9324	4368
681	9340	4355
682	9355	4341
683	9372	4330
684	9389	4318
685	9405	4304
686	9419	4291
687	9436	4279
688	9451	4266
689	9466	4252
690	9481	4240
691	9496	4226
692	9515	4215
693	9532	4202
694	9550	4191
695	9564	4177
696	9577	4163
697	9591	4150
698	9604	4135
699	9621	4123
700	9637	4110
701	9652	4097
702	9667	4084
703	9685	4072
704	9701	4059
705	9716	4046
706	9732	4033
707	9748	4020
708	9762	4007
709	9778	3993
710	9791	3979
711	9806	3966
712	9819	3952
713	9838	3940
714	9852	3927
715	9865	3913
716	9880	3899
717	9895	3886
718	9910	3873
719	9925	3859
720	9940	3846
721	9955	3833
722	9969	3819
723	9983	3805
724	9996	3791
725	10010	3778
726	10025	3764
727	10041	3751
728	10058	3739
729	10074	3726
730	10090	3713
731	10105	3699
732	10121	3686
733	10137	3673
734	10152	3660
735	10168	3647
736	10180	3633
737	10194	3619
738	10209	3605
739	10225	3592
740	10241	3579
741	10254	3565
742	10269	3552
743	10287	3539
744	10302	3526
745	10318	3513
746	10334	3500
747	10351	3487
748	10366	3474
749	10382	3460
750	10399	3447
751	10414	3434
752	10429	3420
753	10445	3408
754	10461	3394
755	10475	3381
756	10493	3368
757	10512	3356
758	10529	3343
759	10547	3330
760	10563	3317
761	10578	3304
762	10593	3290
763	10609	3277
764	10626	3264
765	10641	3250
766	10657	3237
